 Set =  1    X = 1       Z = 0          log g = 14.0  T_Edd= 1.644 keV  R =  14.80 km  z= 0.18
     L/L_Edd    T_eff    fc_1      fc_2      fc_3      fc_4      fc_5      w*fc_1    w*fc_2    w*fc_3 
     0.001     0.292     1.933     1.932     1.934     1.765     1.538     0.742     0.743     0.741
     0.003     0.385     1.775     1.774     1.775     1.638     1.448     0.829     0.830     0.829
     0.010     0.520     1.648     1.649     1.647     1.543     1.382     0.900     0.900     0.900
     0.030     0.684     1.563     1.565     1.560     1.520     1.396     0.942     0.941     0.942
     0.050     0.777     1.530     1.533     1.528     1.523     1.429     0.954     0.954     0.955
     0.070     0.845     1.511     1.514     1.509     1.517     1.448     0.961     0.961     0.961
     0.100     0.924     1.494     1.497     1.491     1.506     1.461     0.966     0.967     0.966
     0.150     1.023     1.478     1.480     1.475     1.494     1.469     0.970     0.971     0.970
     0.200     1.099     1.470     1.472     1.467     1.487     1.471     0.972     0.973     0.972
     0.300     1.217     1.467     1.467     1.465     1.484     1.479     0.975     0.975     0.975
     0.400     1.307     1.475     1.474     1.473     1.491     1.491     0.977     0.976     0.976
     0.500     1.382     1.491     1.489     1.489     1.506     1.511     0.979     0.978     0.979
     0.600     1.447     1.513     1.511     1.511     1.528     1.535     0.980     0.978     0.979
     0.700     1.504     1.549     1.547     1.547     1.560     1.571     0.986     0.984     0.985
     0.750     1.530     1.567     1.566     1.564     1.578     1.589     0.984     0.984     0.983
     0.800     1.555     1.594     1.596     1.591     1.601     1.617     0.992     0.993     0.991
     0.850     1.578     1.626     1.630     1.622     1.631     1.647     0.994     0.997     0.993
     0.900     1.601     1.668     1.678     1.662     1.672     1.688     0.994     1.000     0.993
     0.950     1.623     1.740     1.759     1.731     1.737     1.758     1.004     1.015     1.001
     0.980     1.635     1.802     1.832     1.788     1.809     1.815     0.992     1.009     0.989
 Set =  2    X = 1       Z = 0          log g = 14.3  T_Edd= 1.954 keV  R =  10.88 km  z= 0.27
     L/L_Edd    T_eff    fc_1      fc_2      fc_3      fc_4      fc_5      w*fc_1    w*fc_2    w*fc_3 
     0.001     0.347     1.889     1.888     1.890     1.735     1.531     0.777     0.779     0.776
     0.003     0.457     1.737     1.736     1.737     1.611     1.443     0.855     0.857     0.855
     0.010     0.618     1.615     1.615     1.614     1.525     1.382     0.916     0.916     0.917
     0.030     0.813     1.532     1.534     1.530     1.513     1.403     0.951     0.951     0.952
     0.050     0.924     1.501     1.504     1.499     1.505     1.430     0.961     0.961     0.962
     0.070     1.005     1.484     1.486     1.481     1.496     1.442     0.966     0.967     0.966
     0.100     1.099     1.467     1.470     1.464     1.482     1.449     0.970     0.971     0.970
     0.150     1.216     1.453     1.455     1.451     1.469     1.452     0.973     0.974     0.973
     0.200     1.306     1.448     1.448     1.445     1.464     1.454     0.975     0.975     0.974
     0.300     1.446     1.449     1.447     1.447     1.464     1.463     0.977     0.975     0.976
     0.400     1.554     1.460     1.456     1.459     1.475     1.480     0.979     0.976     0.978
     0.500     1.643     1.479     1.475     1.478     1.493     1.500     0.981     0.978     0.981
     0.600     1.719     1.503     1.499     1.502     1.518     1.526     0.980     0.978     0.980
     0.700     1.787     1.539     1.537     1.537     1.548     1.562     0.987     0.986     0.987
     0.750     1.818     1.562     1.561     1.560     1.572     1.584     0.987     0.986     0.986
     0.800     1.848     1.588     1.590     1.584     1.594     1.610     0.992     0.993     0.991
     0.850     1.876     1.621     1.627     1.616     1.624     1.641     0.997     1.000     0.995
     0.900     1.903     1.665     1.676     1.658     1.667     1.683     0.998     1.005     0.996
     0.950     1.929     1.738     1.761     1.728     1.731     1.752     1.007     1.021     1.004
     0.980     1.944     1.807     1.840     1.794     1.788     1.817     1.023     1.043     1.020
 Set =  3    X = 1       Z = 0          log g = 14.6  T_Edd= 2.322 keV  R =   8.16 km  z= 0.42
     L/L_Edd    T_eff    fc_1      fc_2      fc_3      fc_4      fc_5      w*fc_1    w*fc_2    w*fc_3 
     0.001     0.413     1.851     1.850     1.851     1.715     1.525     0.804     0.805     0.804
     0.003     0.543     1.703     1.703     1.702     1.595     1.438     0.876     0.876     0.876
     0.010     0.734     1.584     1.585     1.582     1.512     1.383     0.930     0.929     0.931
     0.030     0.966     1.504     1.507     1.501     1.490     1.407     0.959     0.958     0.959
     0.050     1.098     1.474     1.478     1.471     1.479     1.425     0.967     0.967     0.967
     0.070     1.194     1.457     1.461     1.454     1.468     1.431     0.970     0.971     0.970
     0.100     1.306     1.443     1.446     1.440     1.456     1.434     0.973     0.974     0.973
     0.150     1.445     1.431     1.433     1.429     1.446     1.435     0.975     0.976     0.975
     0.200     1.553     1.428     1.428     1.426     1.443     1.438     0.976     0.976     0.976
     0.300     1.718     1.433     1.431     1.432     1.448     1.449     0.978     0.977     0.978
     0.400     1.847     1.449     1.445     1.448     1.462     1.468     0.981     0.978     0.980
     0.500     1.952     1.470     1.466     1.469     1.484     1.492     0.981     0.978     0.980
     0.600     2.043     1.498     1.495     1.496     1.507     1.520     0.987     0.985     0.986
     0.700     2.124     1.535     1.534     1.533     1.544     1.556     0.987     0.986     0.987
     0.750     2.161     1.558     1.559     1.555     1.561     1.579     0.996     0.996     0.995
     0.800     2.196     1.584     1.589     1.579     1.587     1.604     0.995     0.998     0.994
     0.850     2.229     1.619     1.627     1.613     1.619     1.637     1.000     1.005     0.999
     0.900     2.261     1.664     1.679     1.656     1.662     1.680     1.002     1.012     1.000
     0.950     2.292     1.733     1.760     1.721     1.724     1.744     1.011     1.028     1.008
     0.980     2.310     1.810     1.852     1.794     1.798     1.816     1.014     1.039     1.010
 Set =  4    X = 0.7374  Z = Z_sun      log g = 14.0  T_Edd= 1.703 keV  R =  14.80 km  z= 0.18
     L/L_Edd    T_eff    fc_1      fc_2      fc_3      fc_4      fc_5      w*fc_1    w*fc_2    w*fc_3 
     0.001     0.303     2.157     2.148     2.165     1.187     0.976     0.096     0.097     0.096
