Set = 7 
L/L_Edd       T_eff       fc_1         fc_2         fc_3         fc_4        fc_5        w1*fc_1^4      w2*fc_2^4      w3*fc_3^4
0.001        0.303        1.844        1.779        1.903        1.844        0.442        0.290        0.314        0.270        
0.003        0.398        1.598        1.540        1.654        1.598        0.443        0.523        0.556        0.493        
0.010        0.538        1.453        1.411        1.494        1.453        0.465        0.792        0.812        0.770        
0.030        0.709        1.418        1.405        1.418        1.418        0.484        0.923        0.924        0.923        
0.050        0.805        1.396        1.399        1.377        1.396        0.493        0.963        0.964        0.968        
0.070        0.876        1.377        1.386        1.350        1.377        0.501        0.975        0.977        0.980        
0.100        0.957        1.363        1.374        1.335        1.363        0.507        0.980        0.983        0.983        
0.150        1.060        1.367        1.372        1.349        1.367        0.508        0.974        0.976        0.975        
0.200        1.139        1.381        1.379        1.374        1.381        0.508        0.962        0.961        0.962        
0.300        1.260        1.419        1.408        1.422        1.419        0.507        0.979        0.972        0.979        
0.400        1.354        1.442        1.428        1.446        1.442        0.506        0.976        0.967        0.976        
0.500        1.432        1.464        1.448        1.466        1.464        0.506        0.976        0.967        0.977        
0.600        1.498        1.490        1.475        1.489        1.490        0.505        0.983        0.973        0.983        
0.700        1.557        1.518        1.506        1.517        1.518        0.503        0.980        0.972        0.980        
0.750        1.584        1.544        1.533        1.541        1.544        0.502        0.991        0.983        0.990        
0.800        1.610        1.568        1.560        1.564        1.568        0.501        0.989        0.984        0.989        
0.850        1.635        1.603        1.599        1.597        1.603        0.500        0.994        0.991        0.993        
0.900        1.658        1.647        1.650        1.638        1.647        0.498        0.997        0.999        0.996        
0.950        1.681        1.721        1.736        1.706        1.721        0.495        1.005        1.014        1.002        
0.980        1.694        1.790        1.824        1.765        1.790        0.491        0.987        1.008        0.983        
