
L/L_Edd      fc1      fc2    fc3    fc4    fc5    w01    w02    w03  
0.001      1.926      1.944      1.906      1.058      3.090      0.014      0.013      0.015      
0.003      1.650      1.680      1.618      1.214      2.439      0.082      0.075      0.091      
0.010      1.376      1.404      1.336      1.224      1.807      0.235      0.215      0.271      
0.030      1.207      1.245      1.157      1.201      1.271      0.458      0.405      0.555      
0.050      1.172      1.215      1.123      1.173      1.208      0.527      0.459      0.635      
0.070      1.178      1.214      1.140      1.180      1.200      0.516      0.461      0.593      
0.100      1.200      1.228      1.179      1.217      1.280      0.464      0.429      0.500      
0.150      1.247      1.259      1.250      1.277      1.350      0.392      0.381      0.389      
0.200      1.286      1.285      1.302      1.319      1.410      0.347      0.347      0.330      
0.300      1.347      1.335      1.365      1.381      1.429      0.288      0.296      0.274      
0.400      1.391      1.380      1.399      1.413      1.383      0.259      0.265      0.253      
0.500      1.420      1.418      1.417      1.438      1.307      0.240      0.241      0.242      
0.600      2.058      2.079      2.029      1.351      2.061      0.190      0.185      0.200      
0.700      2.234      2.266      2.198      1.384      2.142      0.164      0.158      0.173      
0.750      3.393      3.490      3.297      1.527      2.977      0.095      0.089      0.103      
0.800      1.932      1.976      1.895      1.399      1.775      0.166      0.156      0.178      
0.850      2.290      2.355      2.241      1.437      2.203      0.131      0.122      0.141      
0.900      3.019      3.175      2.912      1.530      2.844      0.084      0.074      0.093      
0.950      2.850      3.025      2.733      1.593      2.700      0.069      0.060      0.078      
0.980      2.812      2.987      2.703      1.763      2.387      0.046      0.040      0.052      

L/L_Edd      fc1      fc2    fc3    fc4    fc5    w01    w02    w03  
0.001      1.926      1.944      1.906      1.058      3.090      0.014      0.013      0.015      
0.003      1.650      1.680      1.618      1.214      2.439      0.082      0.075      0.091      
0.010      1.376      1.404      1.336      1.224      1.807      0.235      0.215      0.271      
0.030      1.207      1.245      1.157      1.201      1.271      0.458      0.405      0.555      
0.050      1.172      1.215      1.123      1.173      1.208      0.527      0.459      0.635      
0.070      1.178      1.214      1.140      1.180      1.200      0.516      0.461      0.593      
0.100      1.200      1.228      1.179      1.217      1.280      0.464      0.429      0.500      
0.150      1.247      1.259      1.250      1.277      1.350      0.392      0.381      0.389      
0.200      1.286      1.285      1.302      1.319      1.410      0.347      0.347      0.330      
0.300      1.347      1.335      1.365      1.381      1.429      0.288      0.296      0.274      
0.400      1.391      1.380      1.399      1.413      1.383      0.259      0.265      0.253      
0.500      1.420      1.418      1.417      1.438      1.307      0.240      0.241      0.242      
0.600      2.058      2.079      2.029      1.351      2.061      0.190      0.185      0.200      
0.700      2.234      2.266      2.198      1.384      2.142      0.164      0.158      0.173      
0.750      3.393      3.490      3.297      1.527      2.977      0.095      0.089      0.103      
0.800      1.932      1.976      1.895      1.399      1.775      0.166      0.156      0.178      
0.850      2.290      2.355      2.241      1.437      2.203      0.131      0.122      0.141      
0.900      3.019      3.175      2.912      1.530      2.844      0.084      0.074      0.093      
0.950      2.850      3.025      2.733      1.593      2.700      0.069      0.060      0.078      
0.980      2.812      2.987      2.703      1.763      2.387      0.046      0.040      0.052      

L/L_Edd      fc1      fc2    fc3    fc4    fc5    w01    w02    w03  
0.001      1.926      1.945      1.906      1.058      3.091      0.014      0.013      0.015      
0.003      1.651      1.681      1.619      1.217      2.441      0.082      0.075      0.091      
0.010      1.376      1.404      1.336      1.224      1.807      0.235      0.215      0.271      
0.030      1.207      1.244      1.157      1.201      1.271      0.458      0.405      0.555      
0.050      1.172      1.215      1.123      1.173      1.208      0.527      0.459      0.635      
0.070      1.178      1.214      1.140      1.180      1.200      0.516      0.461      0.593      
0.100      1.200      1.228      1.179      1.217      1.280      0.464      0.429      0.500      
0.150      1.247      1.258      1.249      1.277      1.349      0.392      0.381      0.389      
0.200      1.286      1.285      1.302      1.319      1.409      0.347      0.347      0.330      
0.300      1.348      1.335      1.366      1.381      1.429      0.288      0.296      0.274      
0.400      1.390      1.380      1.399      1.413      1.382      0.259      0.265      0.253      
0.500      1.420      1.418      1.417      1.438      1.307      0.240      0.241      0.242      
0.600      2.058      2.079      2.029      1.351      2.061      0.190      0.185      0.200      
0.700      2.234      2.266      2.198      1.384      2.141      0.164      0.158      0.173      
0.750      3.393      3.490      3.296      1.526      2.977      0.095      0.089      0.103      
0.800      1.932      1.976      1.895      1.399      1.775      0.166      0.156      0.178      
0.850      2.290      2.355      2.241      1.437      2.203      0.131      0.122      0.141      
0.900      3.018      3.174      2.912      1.530      2.844      0.084      0.074      0.093      
0.950      2.850      3.025      2.733      1.593      2.700      0.069      0.060      0.078      
0.980      2.811      2.987      2.702      1.764      2.387      0.046      0.040      0.052      
