
L/L_Edd      fc  
0.001        1.829       
0.003        1.606       
0.010        1.465       
0.030        1.363       
0.050        1.321       
0.070        1.309       
0.100        1.336       
0.150        1.359       
0.200        1.391       
0.300        1.419       
0.400        1.439       
0.500        1.458       
0.600        1.483       
0.700        1.517       
0.750        1.534       
0.800        1.561       
0.850        1.594       
0.900        1.639       
0.950        1.709       
0.980        1.766       
