
L/L_Edd      fc1      fc2    fc3    fc4    fc5    w01    w02    w03  
0.001      1.741      1.750      1.728      1.298      2.599      0.065      0.063      0.067      
0.003      1.561      1.575      1.543      1.413      1.976      0.145      0.140      0.154      
0.010      1.324      1.336      1.311      0.964      1.462      0.233      0.225      0.244      
0.030      1.301      1.297      1.317      1.335      1.247      0.325      0.329      0.309      
0.050      1.309      1.289      1.342      1.355      1.186      0.317      0.333      0.286      
0.070      1.327      1.298      1.366      1.374      1.224      0.300      0.323      0.268      
0.100      1.353      1.318      1.389      1.396      1.357      0.280      0.305      0.253      
0.150      1.380      1.346      1.404      1.415      1.324      0.262      0.283      0.245      
0.200      1.397      1.366      1.411      1.423      1.384      0.253      0.270      0.243      
0.300      1.413      1.391      1.415      1.434      1.403      0.243      0.255      0.242      
0.400      2.218      2.190      2.207      1.320      2.072      0.194      0.201      0.198      
0.500      1.688      1.677      1.678      1.339      1.681      0.215      0.219      0.220      
0.600      2.210      2.212      2.185      1.332      2.184      0.168      0.168      0.174      
0.700      1.937      1.951      1.910      1.356      1.873      0.171      0.167      0.179      
0.750      3.669      2.139      5.301      2.083      3.037      0.017      0.056      0.008      
0.800      6.986      7.397      6.529      1.516      2.987      0.031      0.028      0.034      
0.850      5.707      2.567      15.719      2.583      2.943      0.005      0.024      0.001      
0.900      24.214      36.477      17.724      1.651      2.902      0.004      0.003      0.006      
0.950      3.245      3.493      3.091      1.529      2.863      0.055      0.047      0.062      
0.980      3.912      4.341      3.656      1.787      2.840      0.024      0.019      0.027      

L/L_Edd      fc1      fc2    fc3    fc4    fc5    w01    w02    w03  
0.001      1.741      1.750      1.728      1.298      2.599      0.065      0.063      0.067      
0.003      1.561      1.575      1.543      1.413      1.976      0.145      0.140      0.154      
0.010      1.324      1.336      1.311      0.964      1.462      0.233      0.225      0.244      
0.030      1.301      1.297      1.317      1.335      1.247      0.325      0.329      0.309      
0.050      1.309      1.289      1.342      1.355      1.186      0.317      0.333      0.286      
0.070      1.327      1.298      1.366      1.374      1.224      0.300      0.323      0.268      
0.100      1.353      1.318      1.389      1.396      1.357      0.280      0.305      0.253      
0.150      1.380      1.346      1.404      1.415      1.324      0.262      0.283      0.245      
0.200      1.397      1.366      1.411      1.423      1.384      0.253      0.270      0.243      
0.300      1.413      1.391      1.415      1.434      1.403      0.243      0.255      0.242      
0.400      2.218      2.190      2.207      1.320      2.072      0.194      0.201      0.198      
0.500      1.688      1.677      1.678      1.339      1.681      0.215      0.219      0.220      
0.600      2.210      2.212      2.185      1.332      2.184      0.168      0.168      0.174      
0.700      1.937      1.951      1.910      1.356      1.873      0.171      0.167      0.179      
0.750      3.669      2.139      5.301      2.083      3.037      0.017      0.056      0.008      
0.800      6.986      7.397      6.529      1.516      2.987      0.031      0.028      0.034      
0.850      5.707      2.567      15.719      2.583      2.943      0.005      0.024      0.001      
0.900      24.214      36.477      17.724      1.651      2.902      0.004      0.003      0.006      
0.950      3.245      3.493      3.091      1.529      2.863      0.055      0.047      0.062      
0.980      3.912      4.341      3.656      1.787      2.840      0.024      0.019      0.027      

L/L_Edd      fc1      fc2    fc3    fc4    fc5    w01    w02    w03  
0.001      1.742      1.751      1.729      1.300      2.601      0.065      0.063      0.067      
0.003      1.561      1.575      1.543      1.414      1.976      0.145      0.140      0.154      
0.010      1.325      1.336      1.311      0.968      1.463      0.233      0.225      0.244      
0.030      1.301      1.297      1.317      1.335      1.247      0.325      0.329      0.309      
0.050      1.308      1.289      1.342      1.355      1.186      0.317      0.333      0.286      
0.070      1.327      1.298      1.366      1.374      1.224      0.300      0.323      0.268      
0.100      1.352      1.317      1.388      1.396      1.357      0.280      0.305      0.253      
0.150      1.380      1.346      1.404      1.415      1.324      0.262      0.283      0.245      
0.200      1.396      1.366      1.411      1.423      1.383      0.253      0.270      0.243      
0.300      1.413      1.391      1.415      1.434      1.403      0.243      0.255      0.242      
0.400      2.218      2.191      2.207      1.320      2.072      0.194      0.201      0.198      
0.500      1.688      1.676      1.677      1.339      1.680      0.215      0.219      0.220      
0.600      2.210      2.212      2.186      1.332      2.184      0.168      0.168      0.174      
0.700      1.937      1.951      1.910      1.356      1.873      0.171      0.167      0.179      
0.750      3.668      2.139      5.300      2.084      3.036      0.017      0.056      0.008      
0.800      6.986      7.398      6.530      1.516      2.988      0.031      0.028      0.034      
0.850      5.705      2.567      15.716      2.584      2.943      0.005      0.024      0.001      
0.900      24.207      36.466      17.718      1.651      2.901      0.004      0.003      0.006      
0.950      3.244      3.492      3.091      1.529      2.862      0.055      0.047      0.062      
0.980      3.912      4.341      3.655      1.787      2.840      0.024      0.019      0.027      
