
L/L_Edd      fc  
0.001        1.887       
0.003        1.725       
0.010        1.597       
0.030        1.512       
0.050        1.477       
0.070        1.457       
0.100        1.438       
0.150        1.418       
0.200        1.407       
0.300        1.398       
0.400        1.398       
0.500        1.407       
0.600        1.423       
0.700        1.449       
0.750        1.466       
0.800        1.486       
0.850        1.517       
0.900        1.560       
0.950        1.628       
0.980        1.687       
